"행정구역","2026년05월_계_총인구수","2026년05월_계_연령구간인구수","2026년05월_계_0~9세","2026년05월_계_10~19세","2026년05월_계_20~29세","2026년05월_계_30~39세","2026년05월_계_40~49세","2026년05월_계_50~59세","2026년05월_계_60~69세","2026년05월_계_70~79세","2026년05월_계_80~89세","2026년05월_계_90~99세","2026년05월_계_100세 이상","2026년05월_남_총인구수","2026년05월_남_연령구간인구수","2026년05월_남_0~9세","2026년05월_남_10~19세","2026년05월_남_20~29세","2026년05월_남_30~39세","2026년05월_남_40~49세","2026년05월_남_50~59세","2026년05월_남_60~69세","2026년05월_남_70~79세","2026년05월_남_80~89세","2026년05월_남_90~99세","2026년05월_남_100세 이상","2026년05월_여_총인구수","2026년05월_여_연령구간인구수","2026년05월_여_0~9세","2026년05월_여_10~19세","2026년05월_여_20~29세","2026년05월_여_30~39세","2026년05월_여_40~49세","2026년05월_여_50~59세","2026년05월_여_60~69세","2026년05월_여_70~79세","2026년05월_여_80~89세","2026년05월_여_90~99세","2026년05월_여_100세 이상"
"대구광역시 남구 (2720000000)","140,620","140,620","5,535","8,423","16,340","18,120","17,171","23,228","24,056","17,584","8,635","1,502","26","66,825","66,825","2,863","4,240","7,715","9,742","8,682","11,475","11,094","7,485","3,122","404","3","73,795","73,795","2,672","4,183","8,625","8,378","8,489","11,753","12,962","10,099","5,513","1,098","23"
"대구광역시 북구 (2723000000)","407,548","407,548","21,060","37,631","49,843","47,849","55,690","75,807","65,086","35,939","16,101","2,488","54","201,511","201,511","10,797","19,227","26,741","25,910","27,860","37,102","31,647","15,832","5,793","596","6","206,037","206,037","10,263","18,404","23,102","21,939","27,830","38,705","33,439","20,107","10,308","1,892","48"
"대구광역시 수성구 (2726000000)","408,527","408,527","24,305","47,090","41,606","42,937","62,624","73,802","59,629","36,527","16,839","3,109","59","196,076","196,076","12,505","24,449","22,104","21,614","29,304","34,624","28,054","16,066","6,471","876","9","212,451","212,451","11,800","22,641","19,502","21,323","33,320","39,178","31,575","20,461","10,368","2,233","50"
"대구광역시 달서구 (2729000000)","514,075","514,075","26,685","48,485","57,018","61,064","71,063","93,508","87,174","47,222","18,800","3,006","50","251,408","251,408","13,747","24,654","29,886","32,828","35,078","44,734","41,485","21,290","6,956","738","12","262,667","262,667","12,938","23,831","27,132","28,236","35,985","48,774","45,689","25,932","11,844","2,268","38"
"대구광역시 달성군 (2771000000)","252,210","252,210","19,677","27,139","21,425","32,302","43,245","41,086","38,155","20,038","7,766","1,351","26","127,802","127,802","9,955","13,953","12,043","17,402","22,332","20,776","18,838","9,412","2,806","281","4","124,408","124,408","9,722","13,186","9,382","14,900","20,913","20,310","19,317","10,626","4,960","1,070","22"
"대구광역시 군위군 (2772000000)","22,674","22,674","444","807","918","1,150","1,629","3,516","6,329","4,666","2,659","553","3","11,823","11,823","249","448","537","692","926","2,006","3,509","2,358","969","129","0","10,851","10,851","195","359","381","458","703","1,510","2,820","2,308","1,690","424","3"
"인천광역시  (2800000000)","3,058,623","3,058,623","186,778","276,006","331,673","432,950","472,299","514,565","478,807","243,104","102,735","19,145","561","1,527,097","1,527,097","95,914","141,236","170,885","226,202","243,647","257,350","235,712","113,220","38,429","4,413","89","1,531,526","1,531,526","90,864","134,770","160,788","206,748","228,652","257,215","243,095","129,884","64,306","14,732","472"
"인천광역시 중구 (2811000000)","178,490","178,490","12,822","16,166","21,902","29,378","29,610","27,457","21,858","12,813","5,511","939","34","92,378","92,378","6,657","8,192","11,049","15,949","15,864","15,067","11,195","6,029","2,158","209","9","86,112","86,112","6,165","7,974","10,853","13,429","13,746","12,390","10,663","6,784","3,353","730","25"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 동구 (2814000000)","57,836","57,836","2,388","4,225","5,279","6,582","8,049","9,795","10,027","7,384","3,526","569","12","28,914","28,914","1,214","2,235","2,772","3,562","4,337","5,149","4,929","3,248","1,367","97","4","28,922","28,922","1,174","1,990","2,507","3,020","3,712","4,646","5,098","4,136","2,159","472","8"
"인천광역시 미추홀구 (2817700000)","417,725","417,725","22,800","32,462","48,517","58,438","62,141","68,695","65,100","39,011","17,524","2,962","75","210,128","210,128","11,722","16,681","25,614","31,294","33,219","35,211","31,413","17,525","6,680","759","10","207,597","207,597","11,078","15,781","22,903","27,144","28,922","33,484","33,687","21,486","10,844","2,203","65"
"인천광역시 연수구 (2818500000)","410,308","410,308","32,363","47,553","44,316","57,249","70,965","68,193","55,306","23,117","9,255","1,924","67","203,024","203,024","16,515","24,317","22,877","28,493","34,918","33,430","27,448","11,096","3,489","436","5","207,284","207,284","15,848","23,236","21,439","28,756","36,047","34,763","27,858","12,021","5,766","1,488","62"
"인천광역시 남동구 (2820000000)","479,343","479,343","22,804","44,003","53,164","60,838","71,864","84,151","79,951","42,219","17,244","3,016","89","237,573","237,573","11,692","22,661","27,290","32,505","36,590","41,850","38,618","19,342","6,338","674","13","241,770","241,770","11,112","21,342","25,874","28,333","35,274","42,301","41,333","22,877","10,906","2,342","76"
"인천광역시 부평구 (2823700000)","488,829","488,829","25,729","37,934","53,013","73,931","70,073","82,586","82,441","41,908","17,846","3,282","86","239,869","239,869","13,316","19,485","26,629","38,553","35,904","39,833","39,737","19,022","6,606","772","12","248,960","248,960","12,413","18,449","26,384","35,378","34,169","42,753","42,704","22,886","11,240","2,510","74"
"인천광역시 계양구 (2824500000)","276,563","276,563","11,547","21,062","30,495","37,165","36,833","51,857","54,215","22,254","9,217","1,852","66","137,486","137,486","5,908","10,619","15,939","19,799","19,008","25,060","26,907","10,653","3,171","413","9","139,077","139,077","5,639","10,443","14,556","17,366","17,825","26,797","27,308","11,601","6,046","1,439","57"
"인천광역시 서구 (2826000000)","660,464","660,464","53,290","67,568","68,849","102,946","114,093","108,233","88,470","39,296","14,766","2,864","89","331,772","331,772","27,351","34,439","34,949","52,342","59,067","54,338","44,464","18,747","5,451","605","19","328,692","328,692","25,939","33,129","33,900","50,604","55,026","53,895","44,006","20,549","9,315","2,259","70"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 강화군 (2871000000)","69,689","69,689","2,528","4,175","4,085","4,832","6,832","10,570","16,709","12,013","6,497","1,421","27","34,913","34,913","1,297","2,150","2,306","2,609","3,576","5,611","8,390","5,967","2,620","380","7","34,776","34,776","1,231","2,025","1,779","2,223","3,256","4,959","8,319","6,046","3,877","1,041","20"
"인천광역시 옹진군 (2872000000)","19,376","19,376","507","858","2,053","1,591","1,839","3,028","4,730","3,089","1,349","316","16","11,040","11,040","242","457","1,460","1,096","1,164","1,801","2,611","1,591","549","68","1","8,336","8,336","265","401","593","495","675","1,227","2,119","1,498","800","248","15"
"광주광역시  (2900000000)","1,386,379","1,386,379","83,767","143,000","166,577","173,759","210,019","239,719","196,349","112,354","51,911","8,727","197","683,811","683,811","42,717","73,616","86,946","90,548","104,861","118,850","94,129","49,998","19,979","2,141","26","702,568","702,568","41,050","69,384","79,631","83,211","105,158","120,869","102,220","62,356","31,932","6,586","171"
"광주광역시 동구 (2911000000)","105,005","105,005","6,498","7,722","13,417","14,217","14,067","15,271","15,490","11,290","6,064","956","13","51,334","51,334","3,356","3,921","6,704","7,328","7,289","7,682","7,301","4,938","2,517","295","3","53,671","53,671","3,142","3,801","6,713","6,889","6,778","7,589","8,189","6,352","3,547","661","10"
"광주광역시 서구 (2914000000)","274,925","274,925","14,364","26,428","34,929","34,151","40,067","49,252","40,171","23,234","10,484","1,801","44","134,383","134,383","7,387","13,862","17,936","17,913","19,681","23,856","18,885","10,301","4,075","483","4","140,542","140,542","6,977","12,566","16,993","16,238","20,386","25,396","21,286","12,933","6,409","1,318","40"
"광주광역시 남구 (2915500000)","206,083","206,083","12,315","22,999","20,918","22,801","31,923","32,672","30,402","20,733","9,658","1,617","45","98,350","98,350","6,250","11,426","10,704","11,468","15,579","15,899","13,739","9,009","3,861","407","8","107,733","107,733","6,065","11,573","10,214","11,333","16,344","16,773","16,663","11,724","5,797","1,210","37"
"광주광역시 북구 (2917000000)","416,326","416,326","25,139","39,269","48,313","53,297","60,732","70,598","63,588","36,394","16,241","2,700","55","205,695","205,695","12,859","20,422","25,448","27,701","30,845","35,005","30,201","16,335","6,229","644","6","210,631","210,631","12,280","18,847","22,865","25,596","29,887","35,593","33,387","20,059","10,012","2,056","49"
"광주광역시 광산구 (2920000000)","384,040","384,040","25,451","46,582","49,000","49,293","63,230","71,926","46,698","20,703","9,464","1,653","40","194,049","194,049","12,865","23,985","26,154","26,138","31,467","36,408","24,003","9,415","3,297","312","5","189,991","189,991","12,586","22,597","22,846","23,155","31,763","35,518","22,695","11,288","6,167","1,341","35"
"대전광역시  (3000000000)","1,442,213","1,442,213","85,258","136,078","185,846","196,314","206,830","242,039","209,239","119,480","51,670","9,250","209","718,270","718,270","43,836","69,681","96,833","104,596","103,909","120,624","101,631","54,898","19,902","2,327","33","723,943","723,943","41,422","66,397","89,013","91,718","102,921","121,415","107,608","64,582","31,768","6,923","176"
"대전광역시 동구 (3011000000)","218,505","218,505","10,777","18,800","27,698","25,342","28,719","36,166","35,168","23,197","10,882","1,721","35","109,987","109,987","5,601","9,474","14,758","13,827","15,025","18,930","17,270","10,487","4,182","426","7","108,518","108,518","5,176","9,326","12,940","11,515","13,694","17,236","17,898","12,710","6,700","1,295","28"
"대전광역시 중구 (3014000000)","224,581","224,581","11,427","19,342","24,722","26,288","30,487","38,495","35,467","24,506","11,758","2,039","50","109,724","109,724","5,774","9,894","12,295","13,641","15,376","19,486","17,225","10,867","4,592","565","9","114,857","114,857","5,653","9,448","12,427","12,647","15,111","19,009","18,242","13,639","7,166","1,474","41"
"대전광역시 서구 (3017000000)","463,601","463,601","27,090","46,101","62,836","66,110","68,635","76,837","63,837","35,192","14,305","2,603","55","227,038","227,038","13,939","23,661","31,339","34,552","33,638","37,208","30,277","16,185","5,588","644","7","236,563","236,563","13,151","22,440","31,497","31,558","34,997","39,629","33,560","19,007","8,717","1,959","48"
"대전광역시 유성구 (3020000000)","371,147","371,147","28,617","38,685","52,238","59,221","58,155","59,124","44,933","20,563","7,893","1,679","39","188,121","188,121","14,807","19,827","28,338","31,688","28,905","29,149","22,046","9,986","2,986","383","6","183,026","183,026","13,810","18,858","23,900","27,533","29,250","29,975","22,887","10,577","4,907","1,296","33"
"대전광역시 대덕구 (3023000000)","164,379","164,379","7,347","13,150","18,352","19,353","20,834","31,417","29,834","16,022","6,832","1,208","30","83,400","83,400","3,715","6,825","10,103","10,888","10,965","15,851","14,813","7,373","2,554","309","4","80,979","80,979","3,632","6,325","8,249","8,465","9,869","15,566","15,021","8,649","4,278","899","26"
"울산광역시  (3100000000)","1,087,466","1,087,466","65,386","108,841","107,074","136,908","167,071","195,935","181,690","89,513","30,298","4,649","101","560,750","560,750","33,499","56,651","61,831","76,096","86,965","97,982","91,959","43,153","11,603","1,000","11","526,716","526,716","31,887","52,190","45,243","60,812","80,106","97,953","89,731","46,360","18,695","3,649","90"
"울산광역시 중구 (3111000000)","203,216","203,216","11,322","18,770","18,329","24,564","29,376","36,022","36,638","20,168","7,060","952","15","102,704","102,704","5,851","9,826","10,406","13,359","15,232","17,737","17,998","9,321","2,748","224","2","100,512","100,512","5,471","8,944","7,923","11,205","14,144","18,285","18,640","10,847","4,312","728","13"
"울산광역시 남구 (3114000000)","304,385","304,385","17,575","27,903","33,493","42,579","44,411","55,243","49,875","24,452","7,756","1,071","27","155,883","155,883","9,050","14,574","19,116","23,716","22,769","26,912","24,774","11,657","3,047","265","3","148,502","148,502","8,525","13,329","14,377","18,863","21,642","28,331","25,101","12,795","4,709","806","24"
"울산광역시 동구 (3117000000)","147,834","147,834","8,579","16,161","13,902","16,792","25,777","23,982","25,090","13,423","3,651","461","16","77,439","77,439","4,372","8,412","7,952","9,688","13,963","12,621","12,144","6,699","1,497","91","0","70,395","70,395","4,207","7,749","5,950","7,104","11,814","11,361","12,946","6,724","2,154","370","16"
"울산광역시 북구 (3120000000)","213,772","213,772","16,392","25,501","20,482","29,269","37,275","37,804","30,753","11,597","3,996","689","14","111,365","111,365","8,402","13,224","12,307","16,216","19,073","18,651","16,247","5,636","1,485","121","3","102,407","102,407","7,990","12,277","8,175","13,053","18,202","19,153","14,506","5,961","2,511","568","11"
"울산광역시 울주군 (3171000000)","218,259","218,259","11,518","20,506","20,868","23,704","30,232","42,884","39,334","19,873","7,835","1,476","29","113,359","113,359","5,824","10,615","12,050","13,117","15,928","22,061","20,796","9,840","2,826","299","3","104,900","104,900","5,694","9,891","8,818","10,587","14,304","20,823","18,538","10,033","5,009","1,177","26"
"세종특별자치시  (3600000000)","391,064","391,064","37,504","54,128","36,222","57,060","75,666","60,033","39,819","20,388","8,338","1,873","33","194,820","194,820","19,069","27,451","18,717","28,281","36,976","31,129","19,766","9,815","3,186","424","6","196,244","196,244","18,435","26,677","17,505","28,779","38,690","28,904","20,053","10,573","5,152","1,449","27"
"세종특별자치시  (3611000000)","391,064","391,064","37,504","54,128","36,222","57,060","75,666","60,033","39,819","20,388","8,338","1,873","33","194,820","194,820","19,069","27,451","18,717","28,281","36,976","31,129","19,766","9,815","3,186","424","6","196,244","196,244","18,435","26,677","17,505","28,779","38,690","28,904","20,053","10,573","5,152","1,449","27"
"경기도  (4100000000)","13,755,126","13,755,126","874,883","1,325,114","1,529,450","1,934,724","2,167,351","2,359,932","1,993,983","1,024,426","460,132","83,024","2,107","6,905,139","6,905,139","447,999","676,880","798,602","1,015,174","1,107,105","1,186,126","995,255","478,333","177,831","21,421","413","6,849,987","6,849,987","426,884","648,234","730,848","919,550","1,060,246","1,173,806","998,728","546,093","282,301","61,603","1,694"
"북부출장소  (4110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 수원시 (4111000000)","1,186,120","1,186,120","71,035","110,247","159,507","188,804","182,623","199,876","159,750","75,562","32,774","5,790","152","595,394","595,394","36,527","56,774","82,724","100,182","92,874","98,753","79,264","34,448","12,350","1,472","26","590,726","590,726","34,508","53,473","76,783","88,622","89,749","101,123","80,486","41,114","20,424","4,318","126"
"경기도 수원시 장안구 (4111100000)","270,245","270,245","13,386","24,890","37,257","35,563","37,678","49,054","40,746","20,159","9,662","1,814","36","135,566","135,566","6,802","12,872","20,417","18,968","18,881","24,120","20,311","9,076","3,660","453","6","134,679","134,679","6,584","12,018","16,840","16,595","18,797","24,934","20,435","11,083","6,002","1,361","30"
"경기도 수원시 권선구 (4111300000)","360,343","360,343","20,493","31,662","44,013","57,691","55,721","61,060","53,327","24,811","9,854","1,668","43","181,613","181,613","10,590","16,258","22,474","31,079","29,062","30,104","26,376","11,558","3,678","429","5","178,730","178,730","9,903","15,404","21,539","26,612","26,659","30,956","26,951","13,253","6,176","1,239","38"
"경기도 수원시 팔달구 (4111500000)","193,364","193,364","10,225","13,107","27,840","32,708","26,487","31,846","27,918","15,282","6,809","1,101","41","97,045","97,045","5,269","6,713","13,925","17,694","13,964","15,997","13,783","6,789","2,612","292","7","96,319","96,319","4,956","6,394","13,915","15,014","12,523","15,849","14,135","8,493","4,197","809","34"
"경기도 수원시 영통구 (4111700000)","362,168","362,168","26,931","40,588","50,397","62,842","62,737","57,916","37,759","15,310","6,449","1,207","32","181,170","181,170","13,866","20,931","25,908","32,441","30,967","28,532","18,794","7,025","2,400","298","8","180,998","180,998","13,065","19,657","24,489","30,401","31,770","29,384","18,965","8,285","4,049","909","24"
"경기도 성남시 (4113000000)","903,747","903,747","53,791","80,922","102,572","134,645","139,833","149,912","130,834","73,284","31,979","5,823","152","446,149","446,149","27,447","41,252","52,134","69,481","69,469","74,383","63,774","33,811","12,800","1,567","31","457,598","457,598","26,344","39,670","50,438","65,164","70,364","75,529","67,060","39,473","19,179","4,256","121"
"경기도 성남시 수정구 (4113100000)","234,328","234,328","13,081","16,082","27,343","36,312","33,893","38,143","37,578","22,003","8,576","1,288","29","118,385","118,385","6,689","8,097","14,316","19,453","17,929","19,590","18,533","10,123","3,333","316","6","115,943","115,943","6,392","7,985","13,027","16,859","15,964","18,553","19,045","11,880","5,243","972","23"
"경기도 성남시 중원구 (4113300000)","201,051","201,051","9,821","13,817","22,918","30,946","28,311","33,114","34,128","19,156","7,665","1,130","45","101,111","101,111","4,977","7,127","11,754","16,757","14,893","16,816","16,685","8,849","2,977","268","8","99,940","99,940","4,844","6,690","11,164","14,189","13,418","16,298","17,443","10,307","4,688","862","37"
"경기도 성남시 분당구 (4113500000)","468,368","468,368","30,889","51,023","52,311","67,387","77,629","78,655","59,128","32,125","15,738","3,405","78","226,653","226,653","15,781","26,028","26,064","33,271","36,647","37,977","28,556","14,839","6,490","983","17","241,715","241,715","15,108","24,995","26,247","34,116","40,982","40,678","30,572","17,286","9,248","2,422","61"
"경기도 의정부시 (4115000000)","461,816","461,816","26,378","39,457","52,467","60,905","67,362","81,682","72,382","39,326","18,818","2,975","64","226,540","226,540","13,595","20,320","26,120","31,471","34,483","39,941","35,025","17,606","7,174","793","12","235,276","235,276","12,783","19,137","26,347","29,434","32,879","41,741","37,357","21,720","11,644","2,182","52"
"경기도 안양시 (4117000000)","562,341","562,341","35,133","48,794","62,272","87,228","82,688","93,359","87,196","44,275","17,937","3,384","75","277,065","277,065","17,942","24,956","31,946","45,029","41,742","45,068","41,802","20,977","6,807","783","13","285,276","285,276","17,191","23,838","30,326","42,199","40,946","48,291","45,394","23,298","11,130","2,601","62"
"경기도 안양시 만안구 (4117100000)","233,415","233,415","12,427","16,151","26,192","35,205","31,098","38,908","40,715","21,994","9,128","1,556","41","116,137","116,137","6,306","8,291","13,479","18,656","16,328","19,046","19,729","10,398","3,510","390","4","117,278","117,278","6,121","7,860","12,713","16,549","14,770","19,862","20,986","11,596","5,618","1,166","37"
"경기도 안양시 동안구 (4117300000)","328,926","328,926","22,706","32,643","36,080","52,023","51,590","54,451","46,481","22,281","8,809","1,828","34","160,928","160,928","11,636","16,665","18,467","26,373","25,414","26,022","22,073","10,579","3,297","393","9","167,998","167,998","11,070","15,978","17,613","25,650","26,176","28,429","24,408","11,702","5,512","1,435","25"
"경기도 부천시 (4119000000)","756,037","756,037","37,778","61,387","83,121","104,190","109,865","131,568","132,953","65,500","25,033","4,529","113","372,103","372,103","19,305","31,454","41,941","54,112","55,852","64,134","64,029","30,791","9,417","1,053","15","383,934","383,934","18,473","29,933","41,180","50,078","54,013","67,434","68,924","34,709","15,616","3,476","98"
"경기도 부천시 원미구 (4119200000)","382,692","382,692","19,286","31,594","44,205","55,025","56,241","66,001","65,523","31,044","11,502","2,214","57","187,457","187,457","9,788","16,135","21,917","28,209","28,228","31,956","31,619","14,748","4,339","511","7","195,235","195,235","9,498","15,459","22,288","26,816","28,013","34,045","33,904","16,296","7,163","1,703","50"
"경기도 부천시 소사구 (4119400000)","224,399","224,399","13,008","19,370","22,044","29,876","34,874","36,905","38,049","20,991","7,856","1,389","37","109,692","109,692","6,693","9,864","11,148","15,366","17,680","17,942","17,773","9,759","3,122","341","4","114,707","114,707","6,315","9,506","10,896","14,510","17,194","18,963","20,276","11,232","4,734","1,048","33"
"경기도 부천시 오정구 (4119600000)","148,946","148,946","5,484","10,423","16,872","19,289","18,750","28,662","29,381","13,465","5,675","926","19","74,954","74,954","2,824","5,455","8,876","10,537","9,944","14,236","14,637","6,284","1,956","201","4","73,992","73,992","2,660","4,968","7,996","8,752","8,806","14,426","14,744","7,181","3,719","725","15"
