source_path,seq,culName,culGrpName,culTel,culHomeUrl,gpsX,gpsY
artgallery,957,백남준아트센터,미술관,031-201-8500,http://njp.ggcf.kr/,127.11037318643987,37.26927634736376
artgallery,973,남서울대학교 아트센터 갤러리 이앙,미술관,02-3672-0201,http://www.galleryiang.com,127.00203224382759,37.58423558286695
artgallery,1303,사비나미술관,미술관,02-736-4371,http://www.savinamuseum.com/kor/about/direction.jsp,126.92927808640972,37.63011082253609
artgallery,4997,롯데뮤지엄,미술관,031-1544-7744,https://www.lottemuseum.com/,127.1044461,37.5137525026
artgallery,2551,유나이티드 컬쳐센터 & 갤러리,미술관,02-539-0692,https://www.unitedgallery.co.kr/index.asp,127.02803908422175,37.5035838155189
artgallery,314,아트선재센터,미술관,02-739-7068,http://artsonje.org,126.98183548346792,37.57954678361987
artgallery,1693,서호미술관,미술관,031-592-1864~5,http://www.seohoart.com/,127.35146036866503,37.63271921111116
artgallery,2641,뮤지엄 SAN,미술관,0507-1430-9001,http://www.museumsan.org/index.jsp,127.82371298018678,37.41534433374532
artgallery,4015,대구 메트로 갤러리,미술관,053-556-9708,https://blog.naver.com/dgmetro,128.52715497153042,35.85195146157965
artgallery,5406,JCC 아트센터,미술관,02-2138-7373,https://www.jeijcc.org/intro.html,127.00187947499445,37.5871795800753
artgallery,399,아모레퍼시픽미술관,미술관,031-285-7215,https://apma.amorepacific.com/index.do,127.1076616831132,37.26134292083489
artgallery,1039,갤러리 topohaus,미술관,02-734-7555,http://www.topohaus.com/,126.98431591955091,37.57410738575803
artgallery,1387,서울시립미술관,미술관,02-2124-8800,http://sema.seoul.go.kr/,126.97376336838333,37.56413824910192
artgallery,1382,갤러리M,미술관,02-735-9500,https://blog.naver.com/gallerymh,126.98696218416919,37.57308958347915
artgallery,5342,아줄레주 갤러리,미술관,02-725-6810,http://www.azulejo.gallery/,127.0467432642712,37.52346981046802
artgallery,2186,미메시스 아트 뮤지엄,미술관,031-955-4100,https://mimesisartmuseum.co.kr/,126.68891676590287,37.71674497516721
artgallery,5849,이정웅스페이스,미술관,031-585-1469,http://blog.naver.com/iandartcompany,127.38754223060486,37.68921905501981
artgallery,333,한원미술관,미술관,02-588-5642,http://www.hanwon.org/,127.01543015242063,37.48175473006915
artgallery,2078,아시아프,미술관,02-724-6361,http://asyaaf.chosun.com/,126.92498032790614,37.55251248838165
artgallery,971,헬로우뮤지움,미술관,02-3217-4222,http://www.hellomuseum.com,127.0262598586316,37.54969300318438
artgallery,2645,제주도립미술관,미술관,064-710-4300,https://www.jeju.go.kr/jmoa,126.48963496144127,33.45259362658467
artgallery,5532,솔거미술관,미술관,054-740-3990,http://www.gjsam.or.kr/ko/,129.28829443469297,35.83092972778872
artgallery,1094,경인미술관 제1전시실,미술관,02-733-4448,http://www.kyunginart.co.kr/kor/,126.98571386621593,37.5745941003707
artgallery,5600,담빛예술창고,미술관,061-383-8241,https://www.damyangcf.or.kr/user/sub601010,126.99315664452861,35.32333650359801
artgallery,997,갤러리SP,미술관,02-546-3560,https://www.gallerysp.com/,126.99428605434707,37.53830039507708
